episode,total_reward
1,-4735.065025924986
2,-300.0466331928163
3,-300.0462694420925
4,-300.0489432840572
5,-300.04221997443756
6,-300.0577107575136
7,-300.04329780614626
8,-300.1891541528837
9,-310.1024029422592
10,-310.07834417056233
11,-300.11615859359284
12,-350.0561338917271
13,-320.1120756385963
14,-310.12544019774685
15,-310.0453856365936
16,-330.066552531156
17,-310.05361739451456
18,-360.0608743415463
19,-300.13991086608263
20,-360.21195914739536
21,-340.12348596725843
22,-340.10940964536894
23,-340.0598403173594
24,-340.07667645544734
25,-320.0836949214073
26,-350.08138678067394
27,-360.07100084259974
28,-320.02382772285284
29,-340.062442538476
30,-370.07223021184177
31,-340.0990454960457
32,-360.0612448481213
33,-380.0685314107164
34,-390.0418344261658
35,-350.0872117379452
36,-410.1023340078883
37,-390.07877213274776
38,-390.0533002516987
39,-430.0835438329691
40,-350.07461258960046
41,-440.04905644683635
42,-390.07074769385764
43,-370.0317534337058
44,-420.02698069408933
45,-390.0986182164397
46,-420.0888293105079
47,-420.0529110417682
48,-370.0822743192396
49,-420.1020241545816
50,-360.09036083394597
51,-440.039292551313
52,-410.05858268782333
53,-520.0697336547894
54,-550.0046873267578
55,-350.0840782523646
56,-430.06380375490176
57,-500.04611900515243
58,-480.07286807049513
59,-420.0911435182848
60,-510.0254873733251
61,-509.9317824780335
62,-530.0078276176379
63,-500.0590453402585
64,-430.0764411150589
65,-520.038992003929
66,-520.0247505016405
67,-590.0305190230979
68,-620.0515879931077
69,-470.08801048858743
70,-569.9999876802904
71,-529.9894476294735
72,-540.0295159857426
73,-719.9836067704647
74,-620.1773941475655
75,-630.0915335739448
76,-700.3481297558084
77,-580.0070956953285
78,-599.9395810559768
79,-570.0223975376284
80,-539.9492243635066
81,-539.7711861231943
82,-479.9470381176068
83,-570.042948047546
84,-600.0522089401737
85,-580.0866482463133
86,-620.0979119659944
87,-750.1150547485037
88,-829.9647663182666
89,-720.2575394363764
90,-570.2778116055392
91,-670.0661694642421
92,-680.0067142740525
93,-589.9864845927386
94,-589.9555451936191
95,-589.9660474711175
96,-469.88762406165654
97,-739.9379675152477
98,-669.992486725295
99,-649.8549540466025
100,-630.038181133052
101,-660.0249262335947
102,-680.1045788413043
103,-650.0561770053962
104,-899.9597660764598
105,-620.0814882064659
106,-650.0456869651981
107,-810.022628682485
108,-660.0112679814409
109,-570.0109699212305
110,-610.1000684958558
111,-670.0401642648227
112,-939.9357175988158
113,-809.9650366380906
114,-789.9876472311205
115,-740.0153165803385
116,-849.9920509918029
117,-899.954494311712
118,-940.0031933936988
119,-779.9652360552687
120,-730.002545273025
121,-770.0304371412941
122,-730.0583961190416
123,-710.0094792895046
124,-899.9355434567508
125,-810.1165679066143
126,-730.0950480780923
127,-799.9524073617787
128,-839.9495957684258
129,-919.9617550315352
130,-680.1576145948012
131,-979.9259263294896
132,-789.9854605333293
133,-879.9950933909644
134,-830.004438901988
135,-810.0263836971493
136,-789.9343448123548
137,-979.9585854320007
138,-999.9589998688334
139,-979.914645041866
140,-680.0533189626728
141,-769.8836786220371
142,-729.9567383399813
143,-819.9493233390003
144,-889.9967927019305
145,-989.9794118599208
146,-829.9816279219098
147,-989.9776145212849
148,-960.0254329954134
149,-1029.885931378779
150,-1049.9477206752952
151,-1029.923539966231
152,-1129.8517255752856
153,-1049.9466865457916
154,-1079.8834379499847
155,-1039.9074732903377
156,-979.9283022816317
157,-1069.8903213829783
158,-889.9709454316459
159,-1039.9316136095388
160,-1179.8831628319601
161,-1149.8789748337265
162,-1079.9150197618271
163,-1209.8530050585475
164,-899.9423165823332
165,-1199.889405605619
166,-1019.9071779423198
167,-1359.7946384649674
168,-980.0247334670939
169,-1329.819049880189
170,-1219.908396032469
